Metric,Value,Year,Source
U.S. Cable TV Subscribers (millions),68.7,2025,Evoca TV
Percentage of 18–24-year-olds not watching traditional TV,50%,2024,Statista
Streaming Share of U.S. TV Usage,40%,2024,Statista
International NBA Viewership Share,75%,2024,BasketNews
NBA Social Media Video Views (billions),26,2024,Forbes
International Followers on NBA Social Media,75%,2024,Forbes
NBA App Viewership Growth in EME,39%,2024,NBA Communications
NBA Europe YouTube Watch Time Growth,220%,2024,NBA Communications
